cell_line_key,cell_line,depmap_id,cancer_type,sex,age,subtype,source,origin,phase_of_disease,approx_doubling_time_observed,cell_line_link,media_formulation,plate_number,plate_conditions,plate_ids,wells,seeding_density_24hr,seeding_density_48hr,seeding_density_72hr,cell_count_at_seeding,qc_notes
A673,A673,ACH-000052,Ewing's Sarcoma,Female,15.0,EWS_FLI,ATCC CRL-1598,Primary,,20 hours,https://www.atcc.org/products/crl-1598,DMEM + 10% FBS,2,Synthemax,BR00150698|BR00150699|BR00150700,C03|C04|D03|D04,4000,8000,4000,1670000.0,Issues with clustering across all plates making segmentation hard. Increase 24 hours density as it was low across many FOVs with really bad background noise in AGP. 48 and 72 hour density look fine. (Confirmed)
CCD841CON,CCD 841 CoN,,Normal (colon epithelium),Female,0.0,,ATCC CRL-1790,,,,https://www.atcc.org/products/crl-1790,EMEM + 10% FBS,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,I03|I04|J03|J04,12000,12000,12000,509000.0,"I have no notes for this one, was not part of 55 cell lines."
CF1500,CF1500,,Myoepithelial Carcinoma (MEC),,,,cureMEC (Cure MEC Line #2),,,,,"DMEM/F12 with 10% FBS, 1X L-Glutamine (2 mm), 1% Pen/Strep",2,Synthemax,BR00150698|BR00150699|BR00150700,E03|E04|F03|F04,12000,4000,4000,,"No issues, keep seeding densities the same!"
CHLA10,CHLA10,ACH-001029,Primitive Neuroectodermal Tumor (PNET),Female,14.0,EWS_FLI,COG,Metastasis,PD,,https://www.cccells.org/tables/cellreq-tbl_eft_ewings.php,IMDM + 20 % FBS + 1x ITS + P/S,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,K03|K04|L03|L04,8000,4000,4000,311000.0,"Noted as high confluence - we can drop this down to 8000? (Confirmed high confluence issue (too many cells), recommend reducing all time points) (Confirmed - all conditions have good numbers)"
CHLA113,CHLA113,,PNET / Medulloblastoma,,,,COG,,PD,,https://www.cccells.org/tables/cellreq-tbl_eft_ewings.php,IMDM + 20 % FBS + 1x ITS + P/S,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,M03|M04|N03|N04,4000,2000,1000,247000.0,"Noted as high clustering - we can drop this down to 8000 if you think it'll help with less clustering (Confirmed, clustering is big issue it is not clear if density changes that) (Confirmed)"
CHLA186,CHLA186,,Rhabdomyosarcoma,,,,COG,Metastasis,PD-BMT,,https://www.cccells.org/tables/cellreq-tbl_ped_sarcomas.php,IMDM + 20 % FBS + 1x ITS + P/S,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,C05|C06|D05|D06,2000,4000,4000,1450000.0,Noted as high clustering - we can drop the densities down for 48 and 72 hours if you think it'll help with less clustering (24 hours also has to be reduced)
CHLA194,CHLA194,,Retinoblastoma,,,,COG,,PD,,https://www.cccells.org/tables/cellreq-tbl_retinoblastoma.php,IMDM + 20 % FBS + 1x ITS + P/S,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,E05|E06|F05|F06,4000,1000,2000,418000.0,"Noted as high clustering - we can drop the densities down if you think it'll help with less clustering (Confirmed, also not clear to me if reducing changes clustering but this cell line is not usable at current densities) (Confirmed - don't love this cell line)"
CHLA196,CHLA196,,Retinoblastoma,,,,COG,Primary,PD,,https://www.cccells.org/tables/cellreq-tbl_retinoblastoma.php,IMDM + 20 % FBS + 1x ITS + P/S,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,G05|G06|H05|H06,2000,1000,1000,495000.0,"Noted as high clustering - we can drop the densities down if you think it'll help with less clustering (Confirmed, same comments as CHLA194) (Confirmed - do not like this cell line)"
CHLA200,CHLA200,,Glioblastoma Multiforme,Male,12.0,,COG,Primary,PD-PM,,https://www.cccells.org/PDF_Files/Brain/CHLA-200.pdf,IMDM + 20 % FBS + 1x ITS + P/S,2,Synthemax,BR00150698|BR00150699|BR00150700,G03|G04|H03|H04,4000,4000,4000,230000.0,"Noted as high clustering - we can drop the densities down for 24 and 48 hours if you think it'll help with less clustering, 72 hours was deemed fine (Must reduce at least 48 hours due to FOVs failing image QC for oversaturation, 24 hours was okay but could benefit from decrease if it fixes clusters. Confirmed 72 hours had best density from notes) (Confirmed)"
CHLA203,CHLA203,,Retinoblastoma,,,,COG,,PD,,https://www.cccells.org/tables/cellreq-tbl_retinoblastoma.php,IMDM + 20 % FBS + 1x ITS + P/S,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,I05|I06|J05|J06,1000,2000,4000,669000.0,"Noted as high clustering - we can drop the densities down if you think it'll help with less clustering (Confirmed, same comments as CHLA194) (Confirmed)"
CHLA210,CHLA210,,Retinoblastoma,,,,COG,Primary,P-EBR,,https://www.cccells.org/tables/cellreq-tbl_retinoblastoma.php,IMDM + 20 % FBS + 1x ITS + P/S,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,K05|K06|L05|L06,8000,4000,4000,1320000.0,Noted as 48 hour plates are low density - can increase. Would decrease cell density at 72 hours to help with oversaturation (Confirmed) (Confirmed)
CHLA218,CHLA218,ACH-001030,Primitive Neuroectodermal Tumor (PNET),Female,,,COG,Primary,PD,,https://www.cccells.org/tables/cellreq-tbl_eft_ewings.php,IMDM + 20 % FBS + 1x ITS + P/S,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,M05|M06|N05|N06,12000,12000,12000,744000.0,"Minimal issues, keep seeding densities the same!"
CHLA25,CHLA25,,Primitive Neuroectodermal Tumor (PNET),Female,2.6,EWS_ERG,COG,Primary,PD,,https://www.cccells.org/PDF_Files/Ewings/CHLA-25%20Cell%20Line%20Data%20Sheet.pdf,IMDM + 20 % FBS + 1x ITS + P/S,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,C07|C08|D07|D08,12000,4000,8000,887000.0,"Do we need to adjust density at 48 and 72 hours to help with sparseness or do you think it will just lead to more clustering? (Notes indicate this as a problem cell line, I would agree increasing likely would lead to more clustering issues. Current recommendation is to keep the same)"
CHLA258,CHLA258,ACH-001282,Primitive Neuroectodermal Tumor (PNET),Female,14.0,EWS_FLI,COG,Metastasis,PD-BMT,,https://www.cccells.org/tables/cellreq-tbl_eft_ewings.php,IMDM + 20 % FBS + 1x ITS + P/S,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,E07|E08|F07|F08,8000,8000,4000,940000.0,"Would adjust seeding density at 48 hours to 8000 cells/well and drop 72 hour density to 4000 cells/well to reduce oversaturated clusters (Confirmed, note this cell line will have similar issues with segmentation due to clusters) (Confirmed)"
