cell_line,display_name
A673,A-673
CCD 841 CoN,CCD 841 CoN (colon)
CF1500,CF1500
CHLA10,CHLA-10
CHLA113,CHLA-113
CHLA186,CHLA-186
CHLA194,CHLA-194
CHLA196,CHLA-196
CHLA200,CHLA-200
CHLA203,CHLA-203
CHLA210,CHLA-210
CHLA218,CHLA-218
CHLA25,CHLA-25
CHLA258,CHLA-258
CHLA262,CHLA-262
CHP134,CHP-134
CHP212,CHP-212
CHP212-1020,CHP-212-1020
CHP212-EV,CHP-212-EV
COGAR397hnb,COG-AR-397hnb
COGE352,COG-E-352
COGEP280,COG-EP-280
COGR466h,COG-R-466h
COGW408,COG-W-408
D283,D283
D425,D425
DAOY,DAOY
G292,G-292
G401,G-401
G402,G-402
HMC3,HMC3 (microglia)
IMR32,IMR-32
KNS-42,KNS-42
KP-N-YN,KP-N-YN
NB-1,NB-1
ONS-76,ONS-76
PA1,PA-1
PBT04 FHTC,PBT-04 FHTC
RD,RD
RH30,RH30
RH4,RH4
RH41,RH41
SHSY5Y,SH-SY5Y
SJGBM2,SJ-GBM2
SJSA-1,SJSA-1
SK-N-AS,SK-N-AS
SK-N-MC,SK-N-MC
SKNAS-1020,SK-N-AS-1020
SKNAS-EV,SK-N-AS-EV
SKNDZ,SK-N-DZ
Saos-2,Saos-2
TC71,TC-71
U2-OS,U2-OS
WI38,WI-38 (lung)
WPMY1,WPMY-1 (prostate)
X0092,X0092
