cell_line,repository_cell_line_name,repository_table,catalog_table_url,data_sheet_url,archived_data_sheet_url,cellosaurus_id,cellosaurus_url,cellosaurus_derived_from_site,sample_type_catalog_table,amelogenin_str,sex_cellosaurus,sex_data_sheet,sex_str,age_cellosaurus,age_data_sheet,age_catalog_table,subtype_cellosaurus,subtype_data_sheet,subtype_catalog_table,origin_cellosaurus,origin_data_sheet,origin_catalog_table,origin_inferred_from_specimen,notes,retrieved
CHLA10,CHLA-10,Ewing's Family of Tumors,https://www.cccells.org/tables/cellreq-tbl_eft_ewings.php,,,CVCL_6583,https://www.cellosaurus.org/CVCL_6583,Metastatic; Thoracic lymph duct,tumor (thoracic lymph node),X,Female,,,14.0,,14.0,EWS_FLI,,EWS_FLI,Metastasis,,,,Repository Ewing panel agrees on sex and age.,2026-09-23
CHLA113,CHLA-113,Ewing's Family of Tumors,https://www.cccells.org/tables/cellreq-tbl_eft_ewings.php,,,,,,,,,,,,,,,,,,,,,,2026-09-23
CHLA186,CHLA-186,Pediatric Sarcomas,https://www.cccells.org/tables/cellreq-tbl_ped_sarcomas.php,,,,,,peritoneal fluid,,,,,,,,,,,,,,Metastasis,Origin inferred from specimen type (peritoneal fluid).,2026-09-23
CHLA194,CHLA-194,Retinoblastoma,https://www.cccells.org/tables/cellreq-tbl_retinoblastoma.php,,,CVCL_AQ35,https://www.cellosaurus.org/CVCL_AQ35,,tumor,X,,,,,,,,,,,,,,"Cellosaurus has no sex ('Sex unspecified') or exact age ('Children'). STR Amelogenin is X only, which does not establish sex.",2026-09-23
CHLA196,CHLA-196,Retinoblastoma,https://www.cccells.org/tables/cellreq-tbl_retinoblastoma.php,,,,,,"tumor, (from left eye)",,,,,,,,,,,,,,Primary,"Catalog phase is PD (relapse after chemotherapy; the repository Retinoblastoma page lists CHLA-210 as P-EBR). Retinoblastoma arises in the eye and cannot metastasize into it, so an eye specimen is from the primary tumor site (a relapse there is still Primary here): origin is inferred as Primary from the specimen.",2026-09-23
CHLA200,CHLA-200,Brain,https://www.cccells.org/tables/cellreq-tbl_braintumor.php,https://www.cccells.org/PDF_Files/Brain/CHLA-200.pdf,,CVCL_M147,https://www.cellosaurus.org/CVCL_M147,"In situ; Brain, parietal lobe",tumor,"X,Y",Male,Male,Male,12.0,12.0,12.0,,,,Primary,,,,,2026-09-23
CHLA203,CHLA-203,Retinoblastoma,https://www.cccells.org/tables/cellreq-tbl_retinoblastoma.php,,,,,,tumor,,,,,,,,,,,,,,,,2026-09-23
CHLA210,CHLA-210,Retinoblastoma,https://www.cccells.org/tables/cellreq-tbl_retinoblastoma.php,,,,,,(from left eye),,,,,,,,,,,,,,Primary,"Catalog phase is PD (relapse after chemotherapy; the repository Retinoblastoma page lists CHLA-210 as P-EBR). Retinoblastoma arises in the eye and cannot metastasize into it, so an eye specimen is from the primary tumor site (a relapse there is still Primary here): origin is inferred as Primary from the specimen.",2026-09-23
CHLA218,CHLA-218,Ewing's Family of Tumors,https://www.cccells.org/tables/cellreq-tbl_eft_ewings.php,,,CVCL_0B48,https://www.cellosaurus.org/CVCL_0B48,,tumor,X,Female,,,,,,,,,,,,,Cellosaurus has no exact age ('Children').,2026-09-23
CHLA25,CHLA-25,Ewing's Family of Tumors,https://www.cccells.org/tables/cellreq-tbl_eft_ewings.php,https://www.cccells.org/PDF_Files/Ewings/CHLA-25%20Cell%20Line%20Data%20Sheet.pdf,,CVCL_M152,https://www.cellosaurus.org/CVCL_M152,,tumor,X,Female,Female,,2.6,2.6,2.6,EWS_ERG,EWS_ERG,EWS_ERG,,,,,Data sheet lists EWS/FLI1 Status as FLI1; corrected to ERG (Cellosaurus: EWSR1-ERG; catalog table also ERG).,2026-09-23
CHLA258,CHLA-258,Ewing's Family of Tumors,https://www.cccells.org/tables/cellreq-tbl_eft_ewings.php,,,CVCL_A058,https://www.cellosaurus.org/CVCL_A058,Metastatic; Lung,tumor (lung met),X,Female,,,14.0,,14.0,EWS_FLI,,EWS_FLI,Metastasis,,Metastasis,,Repository Ewing panel: specimen location 'Lung metastasis'.,2026-09-23
COGAR397hnb,COG-AR-397hnb,Brain,https://www.cccells.org/tables/cellreq-tbl_braintumor.php,,,,,,cerebrospinal fluid,,,,,,,,,,,,,,Metastasis,Origin inferred from specimen type (cerebrospinal fluid).,2026-09-23
COGE352,COG-E-352,Ewing's Family of Tumors,https://www.cccells.org/tables/cellreq-tbl_eft_ewings.php,,https://web.archive.org/web/2016/http://www.cogcell.org/dl/EFT_Lines_DataSheets/COG-E-352_Cell_Line_Data_Sheet_COGcell_org.pdf,CVCL_M153,https://www.cellosaurus.org/CVCL_M153,In situ; Peripheral blood,blood,,Male,Male,,17.0,17.0,17.0,EWS_ERG,EWS_ERG,EWS_ERG,,Metastasis,,,"Cellosaurus site 'In situ; Peripheral blood' does not indicate primary vs metastasis, so origin is left empty. Archived data sheet: Source of Culture 'Blood (post-mortem)', Primary Tumor Site 'Fibula', so the specimen is not from the primary site (origin Metastasis inferred). Repository Ewing panel (dl/COG_EFT_Cell_Line_Panel.pdf) agrees on sex and age.",2026-09-23
COGEP280,COG-EP-280,Brain,https://www.cccells.org/tables/cellreq-tbl_braintumor.php,,,,,,tumor,"X,Y",,,Male,,,,,,,,,,,"Sex from STR Amelogenin (X,Y).",2026-09-23
COGR466h,COG-R-466h,Pediatric Sarcomas,https://www.cccells.org/tables/cellreq-tbl_ped_sarcomas.php,,,,,,tumor (autopsy),"X,Y",,,Male,,,,,,,,,,,"Sex from STR Amelogenin (X,Y).",2026-09-23
COGW408,COG-W-408,Wilms Tumor,https://www.cccells.org/tables/cellreq-tbl_wilms.php,,,,,,"tumor, (relapse)",X,,,,,,,,,,,,,,"STR Amelogenin is X only, which does not establish sex.",2026-09-23
RH41,Rh41,Pediatric Sarcomas,https://www.cccells.org/tables/cellreq-tbl_ped_sarcomas.php,https://www.cccells.org/PDF_Files/Rhabdomyosarcoma/Rh41%20Cell%20Line%20Data%20Sheet.pdf,,CVCL_2176,https://www.cellosaurus.org/CVCL_2176,Metastatic; Lung,lung tumor,X,Female,Female,,7.0,7.0,,PAX3_FOXO1,,,Metastasis,,,,"Data sheet says 'PAX-FKHR Status: Positive for translocation' without naming PAX3 or PAX7, so it is not recorded as a subtype; Cellosaurus names PAX3-FOXO1.",2026-09-23
SJGBM2,SJ-GBM2,Brain,https://www.cccells.org/tables/cellreq-tbl_braintumor.php,https://www.cccells.org/PDF_Files/Brain/SJ-GBM2.pdf,,CVCL_M141,https://www.cellosaurus.org/CVCL_M141,In situ; Brain,tumor,,Female,Female,,6.0,4.2,,,,,Primary,,,,Data sheet gives age at diagnosis as 50 months (4.2 y); Cellosaurus says 6Y.,2026-09-23
TC71,TC-71,Ewing's Family of Tumors,https://www.cccells.org/tables/cellreq-tbl_eft_ewings.php,https://www.cccells.org/PDF_Files/Ewings/TC-71.pdf,,CVCL_2213,https://www.cellosaurus.org/CVCL_2213,"In situ; Bone, humerus",,"X,Y",Male,Male,Male,22.0,22.0,22.0,EWS_FLI,EWS_FLI,EWS_FLI,Primary,,,,"Data sheet lists EWS/FLI1 Status as ERG; corrected to FLI1 (Cellosaurus: EWSR1-FLI1 type 1; catalog table also FLI1). Repository Ewing panel agrees on sex and age; it describes the specimen as a biopsy of a locally recurrent tumor, originally metastatic (1981), so origin is ambiguous (Cellosaurus: In situ; humerus).",2026-09-23
